name,url,address,access,category,description,average_price,pet_dog_small,pet_dog_medium,pet_dog_large,pet_cat,pet_others,pet_otherInfo
Laugh Full’s（ラッフル）,https://r.gnavi.co.jp/3jvr6vj90000/,千葉県松戸市松戸新田463-1,新京成線松戸新田駅 徒歩1分,和食,リゾートレストラン,"平均予算：3,000円",テラス,テラス,テラス,テラス,テラス,
相撲茶屋 和 ‐NAGOMI‐,https://r.gnavi.co.jp/bh83g66y0000/,京都府京都市下京区木屋町通七条東入南側若宮町481,京阪本線七条駅 徒歩1分,和食,ちゃんこ鍋の和風居酒屋,"平均予算：3,500円",テラス,テラス,テラス,テラス,テラス,
海鮮個室酒場 伊まり 狸小路駅前店,https://r.gnavi.co.jp/g8u71uvt0000/,北海道札幌市中央区南3条西3-14-2,札幌市電山鼻線狸小路駅 徒歩2分,和食,旬魚や鮮魚を破格で提供,"平均予算：2,500円",店内,,,店内,店内,
Hawaiian BeerGarden ハワイアンビアガーデンなかもず,https://r.gnavi.co.jp/1mhfrnnp0000/,大阪府堺市北区百舌鳥梅町3-5-1,地下鉄御堂筋線なかもず駅 徒歩8分,和食,ビアガーデン/居酒屋,"平均予算：4,000円",テラス,テラス,,,,
ビストロ さかの上 上大岡,https://r.gnavi.co.jp/712ny0e40000/,神奈川県横浜市港南区最戸1-2-33,京急本線上大岡駅 徒歩10分,和食,ビストロ,"平均予算：2,000円",店内,店内,店内,店内,店内,
Bar‐八（ばるはち）,https://r.gnavi.co.jp/mk8s0wgg0000/,愛知県名古屋市中村区名駅3-18-21,ＪＲ名古屋駅ユニモール10番出口 徒歩5分,和食,激安ドリンク和バル,"平均予算：3,500円",テラス,テラス,テラス,テラス,テラス,
ベルガマイス（bergamais）,https://r.gnavi.co.jp/2azphbcd0000/,大阪府大阪市西区京町堀1-10-17,地下鉄四つ橋線肥後橋駅 徒歩3分,和食,中南米料理,"平均予算：2,500円",テラス,テラス,テラス,テラス,テラス,
貸切パーティーダイニング ウェディングホール名駅,https://r.gnavi.co.jp/czkbpy4g0000/,愛知県名古屋市中村区名駅4-26-10,ＪＲ名古屋駅 徒歩5分,和食,名駅近！貸切ダイニング,"平均予算：4,400円",店内,店内,店内,店内,店内,
PUBLIC HOUSE Ritz,https://r.gnavi.co.jp/9gnjkybb0000/,奈良県奈良市橋本町1-1,近鉄奈良線近鉄奈良駅 徒歩5分,和食,メキシカンダイニング,"平均予算：2,200円",テラス,テラス,テラス,,,
横浜中華街 彩り五色小籠包専門店 龍海飯店,https://r.gnavi.co.jp/7zvf6te70000/?sc_dsp=rs_12920&sc_type=area&sc_area=jp,神奈川県横浜市中区山下町146-2,ＪＲ根岸線石川町駅 徒歩5分,和食,食べ飲み放題品質NO１,"平均予算：1,880円",店内,,,,,
