name,url,address,access,description,average_price,pet_dog_small,pet_dog_medium,pet_dog_large,pet_cat,pet_others,pet_otherInfo
杏仁香,https://r.gnavi.co.jp/sg562v6r0000/?sc_dsp=rs_15476&sc_type=area&sc_area=jp,鹿児島県鹿児島市東千石町3-41,鹿児島市電（系統1）高見馬場駅 徒歩5分,鹿児島の四川料理,"平均予算：4,000円",テラス,テラス,,テラス,テラス,
九州炭火酒場 ばってん 神田西口店,https://r.gnavi.co.jp/27gy5be10000/?sc_dsp=rs_13348&sc_type=area&sc_area=jp,東京都千代田区内神田3-12-4,ＪＲ神田駅 徒歩1分,九州料理と炭火と地酒,"平均予算：3,000円",テラス,テラス,テラス,テラス,テラス,
生ハム食べ放題500円 Pizzeria uanci e cheer,https://r.gnavi.co.jp/dfjseh000000/,長野県長野市南長野南石堂町1259-2,長野電鉄長野線長野駅 徒歩5分,石窯ピッツァイタリアン,"平均予算：3,500円",テラス,テラス,テラス,テラス,テラス,ウッドデッキのテラス席に暖房付きビニールテントあり、 開放感のある席でイタリアンテラス席はここだけ！？ ペット連れなどでもご予約限定でご利用できます！
チーズとスパークリングワイン飲み放題の店 Azzurro 神戸三宮,https://r.gnavi.co.jp/etr8nvpp0000/,兵庫県神戸市中央区下山手通3-1-9,阪急神戸線神戸三宮駅西口 徒歩4分,お手軽イタメシ食堂,"平均予算：3,000円",店内,,,,,店内のお席も、かわいい愛犬と一緒にお食事をお楽しみ頂けます♪ お席はゆったり間隔をあけてご案内しておりますので、わんちゃん連れのお客様もそうでないお客様も安心◎ 店内はテーブル席とソファー席となりますのでお越しの際には敷物のご持参をお願いいたします。また、わんちゃんには、お洋服の着用をお願いします。
Nha Viet Nam ヴェトナム館 恵比寿本店,https://r.gnavi.co.jp/g158610/,東京都渋谷区恵比寿南1-9-3,ＪＲ恵比寿駅西口 徒歩3分,恵比寿ベトナム料理宴会,"平均予算：3,000円",店内,店内,店内,店内,,家族の一員の犬や猫と一緒にお食事がお楽しみいただけます。１階席の一部の席のみになりますので、ご予約いただけますとスムーズにご案内が可能でございます。
青いナポリ イン・ザ・パーク 天王寺 てんしば,https://r.gnavi.co.jp/kufj25b20000/?sc_dsp=rs_13501&sc_type=area&sc_area=jp,大阪府大阪市天王寺区茶臼山町5-55,地下鉄谷町線天王寺駅 徒歩3分,イタリアン＆窯焼きピザ,"平均予算：3,500円",テラス,テラス,テラス,テラス,テラス,
山咲亭,https://r.gnavi.co.jp/c173100/,大阪府大阪市淀川区西中島3-11-24,地下鉄御堂筋線西中島南方駅北口 徒歩3分,ヘルシー焼肉・黒毛和牛,"平均予算：3,500円",店内,,,店内,,条件付です。小型犬～１０ｋｇ・最低限のしつけ（無駄吠え・おしっこ等）が出来ていること・ゲージ、バックのご持参をお願い致します。ご来店の際は電話にてご確認ください。
炭火焼肉＆Bar 龍＆Ryu,https://r.gnavi.co.jp/13ud8fuk0000/,宮城県仙台市宮城野区宮城野1-11-25,ＪＲ仙石線榴ヶ岡駅 徒歩5分,仙台牛炭火焼肉,"平均予算：4,000円",店内,,,,,仙台では珍しいペット（小型犬）と一緒にお食事が出来るお店です。ワンちゃん用のメニューなどご用意致します。ペットと焼肉が食べられる！県外の方も多数来店！
vege BeeF 新宿店,https://r.gnavi.co.jp/na50setz0000/,東京都新宿区新宿6-27-23,地下鉄副都心線新宿三丁目駅 徒歩4分,新宿隠れ家イタリアン,"平均予算：3,000円",店内テラス,店内テラス,店内テラス,店内テラス,店内テラス,開放感溢れるテラス席は、当店人気のお席となっております！
Chubby＆Mahalo,https://r.gnavi.co.jp/4ev0aarf0000/,茨城県土浦市中央2-2-30,ＪＲ常磐線土浦駅西口 徒歩10分,ハワイアン居酒屋,"平均予算：3,500円",店内,店内,店内,店内,店内,見た目がとってもキュートなスノーマン鍋はMahaloの自信作。 見た目だけでなく味も間違いない鍋です。豚肉のこってり×大根おろしのさっぱりが相性抜群！寒いこの季節にみんなで囲んで召し上がれ♪リピーターも多数。要予約
VINERIA,https://r.gnavi.co.jp/b184800/,千葉県成田市花崎町527-1,ＪＲ成田線成田駅 徒歩2分,イタリアンレストラン,"平均予算：4,800円",テラス,テラス,テラス,テラス,テラス,広々としたテラス席は外からの目線も気になりません【ペット同伴】【貸し切りパーティー】【貸し切りBBQ】
肉×湘南野菜 オンザピッグズバック 辻堂,https://r.gnavi.co.jp/3vxgyf6j0000/,神奈川県藤沢市辻堂西海岸1-10-2,ＪＲ東海道本線辻堂駅 徒歩15分,辻堂のステーキ＆パスタ,"平均予算：2,500円",テラス,テラス,テラス,テラス,テラス,①ワンちゃんのPIG特製のお食事お作りできます。 ②ワンちゃんのリード、服、2階で販売中! ③ワンちゃん用のシャワーございます。 近くにはワンちゃん遊べる辻堂海岸があるので、レジャーにも最適です◎
CASUAL ITALIAN BAGGIO － バッジオ － 岡山店,https://r.gnavi.co.jp/3y65h6b10000/,岡山県岡山市北区幸町6-33,岡山電気軌道東山線岡山駅前停留所 徒歩7分,イタリアン,"平均予算：3,500円",テラス,テラス,テラス,テラス,,テーブルを優しく灯すキャンドルにアンティーク調のシャンデリアと木製家具。乙女心をくすぐるインテリアに囲まれたテラス席はゆったりと優雅なひとときが過ごせる人気のお席です。
沖縄 あっぱりしゃん 枚方大垣内店,https://r.gnavi.co.jp/4nkpehsu0000/,大阪府枚方市大垣内町1-4-3,京阪本線枚方市駅 徒歩5分,沖縄琉球料理の居酒屋,"平均予算：3,000円",店内,,,,,ペットを飼われているお客様にとって愛犬だけのお留守番は心配だったり寂しい思いをさせていないか気掛かりかと思います。 愛犬と一緒にお食事できるとワンちゃんも安心ですね！ワンちゃんと一緒の空間で楽しく過ごして頂けるようお待ちしております。
