name, area_list, description, url, category, tags_list, address, access, business_hours, regular_holidays, tarif, phone_no, if_reservation_needed
堺・緑のミュージアム ハーベストの丘,'関西'  '大阪府',混雑する時間の目安,https://www.walkerplus.com/spot/ar0727s07618/    ,遊ぶ,'牧場・乗馬施設'  '観光農園'  '子供と'  '恋人と・夫婦で'  '友達と',    大阪府堺市南区鉢ヶ峯寺2405-1[地図],    【電車】泉北高速鉄道泉ケ丘駅からバスでハーべストの丘下車すぐ 【車】阪和自動車道堺ICから約15分,    10:00～17:00 (入園は16:00まで),    1月1日(祝)、6月・7月・12月～2月の水曜日(夏休み・冬休みを除く)    ※2021年7月は7日・14日、12月は1日・8日・15日・22日が,有料。 入園料 大人1000円、子ども(4歳以上)600円、3歳以下無料 ※クレジットカードは一部店舗対応不可, 072-296-9911,
ぎふ清流里山公園,'東海'  '岐阜県',混雑する時間の目安,https://www.walkerplus.com/spot/ar0621s03683/    ,遊ぶ,'テーマパーク・アミューズメントパーク'  '公園'  '子供と'  '恋人と・夫婦で'  '友達と',    岐阜県美濃加茂市山之上町2292-1[地図],    【電車】JR美濃太田駅からバスでぎふ清流里山公園下車すぐ 【車】東海環状自動車道美濃加茂ICからすぐ,    3～11月9:00～17:00、12～2月10:00～17:00。里山の湯は通年10:00～22:00,    水曜(12～2月)。3～11月無休。里山の湯は無休,入場無料。 クレジットカードはおんさい館のみ使用可, 0574-23-0066,
メッツァ(メッツァビレッジ・ムーミンバレーパーク),'関東'  '埼玉県',北欧のライフスタイルを体験できるテーマパーク,https://www.walkerplus.com/spot/ar0311s330371/    ,遊ぶ,'テーマパーク・アミューズメントパーク'  '複合施設'  '子供と'  '恋人と・夫婦で'  '友達と',    埼玉県飯能市宮沢327-6 メッツァ[地図],    【電車】西武鉄道池袋線飯能駅からバスでメッツァ(旧 宮沢湖)下車 【車】首都圏中央連絡自動車道狭山日高ICから県道262号線経由で約12分、青梅ICから県道218号線経由で約30分、飯能駅北口からバスで約13分,    メッツァビレッジ10:00～18:00(土日祝19:00)、ムーミンバレーパーク10:00～17:00(土日祝18:00)    ※季節や天候により変更になる場合あり。メッツァビレッジは店舗により一部異なるため、公式サイトをご確認ください。,    不定休,有料。 メッツァビレッジは入場無料。ムーミンバレーパーク入園チケット：大人(中学生以上)2500円、子供(4歳以上小学生以下)1500円 ※3歳以下無料, 0570-03-1066 ナビダイヤル 平日・土日祝10:00～18:00(不定休),
伊豆ぐらんぱる公園,'東海'  '静岡県',年齢層問わず、愛犬も一緒に楽しめる体験型施設,https://www.walkerplus.com/spot/ar0622s210202/    ,遊ぶ,'遊園地・レジャー施設'  '子供と'  '恋人と・夫婦で'  '友達と',    静岡県伊東市富戸1090[地図],    【電車】伊豆急行伊豆高原駅から東海バスで約20分ぐらんぱる公園下車徒歩すぐ 【車】東名高速道路沼津ICまたは新東名高速道路長泉沼津ICから約75分,定休日    年中無休    アトラクションは不定休、営業日・がそれぞれ異なるため要問合せ,    年中無休    アトラクションは不定休、営業日・営業時間がそれぞれ異なるため要問合せ,有料。 昼の部 大人(中学生以上)1300円、小学生700円、幼児(4歳以上)400円、シニア(70歳以上、昼の部のみ)700円。夜の部(グランイルミ) 大人(中学生以上)1500円、小学生800円、幼児無料、小学生以下は要保護者同伴。昼の部 特別福祉割引料金 中学生以上650円、小学生350円、幼児(4歳以上)200円。夜の部 特別福祉割引料金 中学生以上750円、小学生400円、幼児無料、小学生以下は要保護者同伴 ※障害者手帳要提示。介助者は対象者1名につき1名が特別福祉割引料金にて入園可, 0557-51-1122 (代表),
姫路セントラルパーク【限定営業】,'関西'  '兵庫県',関西ではここだけ、ホワイトライオンに会える,https://www.walkerplus.com/spot/ar0728s14711/    ,遊ぶ,'動物園・サファリパーク'  '子供と'  '恋人と・夫婦で'  '友達と',    兵庫県姫路市豊富町神谷1434[地図],    【電車】JR姫路駅北口から神姫バス姫路セントラルパーク行きに乗り約30分、終点下車すぐ 【車】山陽自動車道山陽姫路東ICから約5分、中国自動車道福崎IC経由播但連絡道路船津ランプから約15分、または阪神高速神戸線姫路バイパス経由播但連絡道路花田ICから約15分,    10:00～17:00、受付は閉園時間1時間前まで    時期により異なる,    水曜日不定休,有料。 入園料 大人3600円、小学生2000円、幼児(3～小学生未満)1200円, 079-264-1611,
ツインリンクもてぎ,'関東'  '栃木県',モータースポーツや森をテーマにしたアトラクションが充実,https://www.walkerplus.com/spot/ar0309s07554/    ,遊ぶ,'遊園地・レジャー施設'  '屋内アミューズメント施設'  '子供と'  '恋人と・夫婦で'  '友達と',    栃木県芳賀郡茂木町桧山120-1[地図],    【電車】JR宇都宮駅からバスに乗り約90分、ツインリンクもてぎ下車すぐ 【車】常磐自動車道水戸ICから約40分、または北関東自動車道真岡ICから約50分,    10:00～16:00    季節、曜日によって異なる。詳細は公式サイトを参照,    12～2月の火・水曜(年末年始は除く)。1月下旬～2月上旬に施設メンテナンスによる休業あり,入場料:大人(中学生以上)1200円、子供(小学生)600円、幼児(3歳～未就学児)300円。モビパークパスポート:小学生以上3200円、3歳～未就学児1800円。特別イベント、レース開催期間中に、イベント、レースを観戦する場合は別途観戦(観覧)料金が必要, 0285-64-0001,
生駒山上遊園地,'関西'  '奈良県'  '生駒山上駅(奈良県)'  '霞ヶ丘駅(奈良県)'  '梅屋敷駅(奈良県)',ケーブルカーに乗って行く入園無料の遊園地,https://www.walkerplus.com/spot/ar0729s14610/    ,遊ぶ,'遊園地・レジャー施設'  '子供と'  '恋人と・夫婦で'  '友達と',    奈良県生駒市菜畑町2312-1[地図],    【電車】近畿日本鉄道奈良線生駒駅からケーブルカー乗換え、生駒山上駅下車すぐ 【車】阪奈道路登山口ICから信貴生駒スカイライン(有料)に入り約4キロ,    10:00～17:00    季節、社会情勢により変更有り,    木曜(祝日および、春・夏休み期間は営業)    社会情勢により変更有り,入場無料。 のりもの料金 各300～500円。のりもの券が12枚つづりになった「とくとくチケット」3400円, 0743-74-2173,
はままつフルーツパーク時之栖,'東海'  '静岡県'  'フルーツパーク駅(静岡県)',混雑する時間の目安,https://www.walkerplus.com/spot/ar0622s58936/    ,遊ぶ,'観光農園'  '子供と'  '恋人と・夫婦で'  '友達と',    静岡県浜松市北区都田町4263-1[地図],    【電車】天竜浜名湖鉄道フルーツパーク駅から徒歩8分 【車】新東名高速道路浜松SAスマートICから約8分、東名高速道路浜松西ICから約30分,    9:00～18:00 時期により異なる,    なし,有料。 入園料:高校生以上700円、小・中学生350円、未就学児無料, 053-428-5211 (代表),
川崎市夢見ヶ崎動物公園,'関東'  '神奈川県'  '新川崎駅(神奈川県)'  '鹿島田駅(神奈川県)',入園無料で楽しめる自然の中の動物園,https://www.walkerplus.com/spot/ar0314s03789/    ,遊ぶ,'動物園・サファリパーク'  '公園'  '子供と'  '恋人と・夫婦で'  '友達と',    神奈川県川崎市幸区南加瀬1-2-1[地図],    【電車】JR新川崎駅から徒歩15分またはJR鹿島田駅から徒歩20分 【車】東名高速道路東名川崎ICから約30分または第三京浜道路都筑ICから約20分,    9:00～16:00,    なし,入場無料。, 044-588-4030,
かみねレジャーランド,'関東'  '茨城県',太平洋を一望できる本格レジャー施設,https://www.walkerplus.com/spot/ar0308s14589/    ,遊ぶ,'遊園地・レジャー施設'  '子供と'  '恋人と・夫婦で'  '友達と',    茨城県日立市宮田町5-2-22[地図],    【電車】JR日立駅から日立電鉄バスで神峰公園口停留所下車、徒歩15分 【車】常磐自動車道日立中央ICから約5分,    3～10月 9:00～17:00。11～2月 9:30～16:15,    月曜(祝日の場合は翌日)、12月31日、1月1日。4月・5月・夏休み期間など繁忙期は無休,有料。 入園料 大人450円、小人(4歳～中学生)200円、3歳以下無料(入園料のみ)。のりもの券 1枚券100円、回数券1200円、徳用券2600円。クレジットカードは各種対応(VISA、JCB、Mastercard、三菱UFJニコス、アメリカン・エキスプレス、ダイナーズクラブ), 0294-22-4737,
堺・緑のミュージアム ハーベストの丘,'関西'  '大阪府',混雑する時間の目安,https://www.walkerplus.com/spot/ar0727s07618/    ,遊ぶ,'牧場・乗馬施設'  '観光農園'  '子供と'  '恋人と・夫婦で'  '友達と',    大阪府堺市南区鉢ヶ峯寺2405-1[地図],    【電車】泉北高速鉄道泉ケ丘駅からバスでハーべストの丘下車すぐ 【車】阪和自動車道堺ICから約15分,    10:00～17:00 (入園は16:00まで),    1月1日(祝)、6月・7月・12月～2月の水曜日(夏休み・冬休みを除く)    ※2021年7月は7日・14日、12月は1日・8日・15日・22日が,有料。 入園料 大人1000円、子ども(4歳以上)600円、3歳以下無料 ※クレジットカードは一部店舗対応不可, 072-296-9911,
