hotel_name,area,dog_size,if_recommended_by_traveldog,description,addtional_info,address,hotel_url
パーク ハイアット ニセコ HANAZONO,北海道 北海道,小型犬まで,,パーク ハイアット ニセコ HANAZONO  お薦めの宿  ペットと同室宿泊が可能   ,小型犬（6kg以下）1匹まで。公式サイトからの予約時に日付選択後、「ペット ステイケーション パッケージ」を選ぶことができる。,北海道虻田郡倶知安町岩尾別328-1,https://www.hyatt.com/ja-JP/hotel/japan/park-hyatt-niseko-hanazono/ctsph/rooms
心のリゾート　海の別邸ふる川,北海道 北海道,大型犬まで,,心のリゾート　海の別邸ふる川  お薦めの宿  ペットと同室宿泊が可能        ,⇒オリジナル宿泊レポート,北海道白老郡白老町虎杖浜289-3,https://hb.afl.rakuten.co.jp/hgc/10ac63a7.2fd916dc.10ac63a8.c67c3c52/?pc=https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=109022&m=https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=109022
ザ　レイクビュー　ＴＯＹＡ　乃の風リゾート,北海道 北海道,超大型犬まで,,ザ　レイクビュー　ＴＯＹＡ　乃の風リゾート  お薦めの宿  ペットと同室宿泊が可能        ,⇒オリジナル宿泊レポート,北海道虻田郡洞爺湖町洞爺湖温泉29-1,https://hb.afl.rakuten.co.jp/hgc/10ac63a7.2fd916dc.10ac63a8.c67c3c52/?pc=https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=139962&m=https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=139962
定山渓温泉　ぬくもりの宿　ふる川,北海道 北海道,大型犬まで,このエリア注目の宿,定山渓温泉　ぬくもりの宿　ふる川  このエリア注目の宿  ペットと同室宿泊が可能        ,,北海道札幌市南区定山渓温泉西4-353,https://hb.afl.rakuten.co.jp/hgc/10ac63a7.2fd916dc.10ac63a8.c67c3c52/?pc=https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=1037&m=https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=1037
星野リゾート リゾナーレトマム,北海道 北海道,大型犬まで,,星野リゾート リゾナーレトマム  お薦めの宿  ペットと同室宿泊が可能       ,⇒オリジナル宿泊レポート,北海道勇払郡占冠村字中トマム,https://risonare.com/tomamu/summer/guestroom/pet-room/
ＨＡＫＯＤＡＴＥ　男爵倶楽部　ＨＯＴＥＬ＆ＲＥＳＯＲＴＳ,北海道 北海道,大型犬まで,,ＨＡＫＯＤＡＴＥ　男爵倶楽部　ＨＯＴＥＬ＆ＲＥＳＯＲＴＳ  お薦めの宿  ペットと同室宿泊が可能        ,20㎏以下の中小型犬は3匹まで。30㎏以下の大型犬は1匹まで,北海道函館市大手町22-10,https://hb.afl.rakuten.co.jp/hgc/10ac63a7.2fd916dc.10ac63a8.c67c3c52/?pc=https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=56773&m=https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=56773
しこつ湖鶴雅リゾートスパ水の謌,北海道 北海道,中型犬まで,このエリア注目の宿,しこつ湖鶴雅リゾートスパ水の謌  このエリア注目の宿  ペットと同室宿泊が可能        ,10kgまでの小中型犬でゲージに入るワンちゃん1室につき2匹まで,北海道千歳市支笏湖温泉,https://hb.afl.rakuten.co.jp/hgc/10ac63a7.2fd916dc.10ac63a8.c67c3c52/?pc=https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=9563&m=https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=9563
登別温泉　第一滝本館,北海道 北海道,中型犬まで,このエリア注目の宿,登別温泉　第一滝本館  このエリア注目の宿  ペットと同室宿泊が可能        ,,北海道登別市登別温泉町55,https://hb.afl.rakuten.co.jp/hgc/10ac63a7.2fd916dc.10ac63a8.c67c3c52/?pc=https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=30109&m=https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=30109
Ｕ５Ｒ,北海道 北海道,小型犬まで,このエリア注目の宿,Ｕ５Ｒ  このエリア注目の宿  ペットと同室宿泊が可能     ,,北海道小樽市花園3-11-9,https://hb.afl.rakuten.co.jp/hgc/10ac63a7.2fd916dc.10ac63a8.c67c3c52/?pc=https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=172445&m=https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=172445
洞爺湖が一望できるコテージ（一棟貸切）,北海道 北海道,Unknown,このエリア注目の宿,洞爺湖が一望できるコテージ（一棟貸切）  このエリア注目の宿  ペットと同室宿泊が可能   ,ペット利用スペースは1階のみ,北海道虻田郡洞爺湖町,https://www.airbnb.jp/associates/98862?s=67&c=.pi115.pk0_9&a4ptk=5863_0_9_98862&af=115
