area_list,tags_list,name,description,url,category,address,access,business_hours,regular_holidays,price,phone_no,if_reservation_needed
関東,複合施設,ところざわサクラタウン,日本最大級のポップカルチャー発信拠点,https://www.walkerplus.com/spot/ar0311s392095/    ,観る・学ぶ,    埼玉県所沢市東所沢和田3-31-3[地図],    【電車】JR武蔵野線東所沢駅から徒歩10分 【車】関越自動車道所沢ICから約8分,    施設により異なる,    施設により異なる,入場無料。, 0570-017-396 受付時間10:00～17:00,
埼玉県,複合施設,ところざわサクラタウン,日本最大級のポップカルチャー発信拠点,https://www.walkerplus.com/spot/ar0311s392095/    ,観る・学ぶ,    埼玉県所沢市東所沢和田3-31-3[地図],    【電車】JR武蔵野線東所沢駅から徒歩10分 【車】関越自動車道所沢ICから約8分,    施設により異なる,    施設により異なる,入場無料。, 0570-017-396 受付時間10:00～17:00,
関東,美術館,ところざわサクラタウン,日本最大級のポップカルチャー発信拠点,https://www.walkerplus.com/spot/ar0311s392095/    ,観る・学ぶ,    埼玉県所沢市東所沢和田3-31-3[地図],    【電車】JR武蔵野線東所沢駅から徒歩10分 【車】関越自動車道所沢ICから約8分,    施設により異なる,    施設により異なる,入場無料。, 0570-017-396 受付時間10:00～17:00,
埼玉県,美術館,ところざわサクラタウン,日本最大級のポップカルチャー発信拠点,https://www.walkerplus.com/spot/ar0311s392095/    ,観る・学ぶ,    埼玉県所沢市東所沢和田3-31-3[地図],    【電車】JR武蔵野線東所沢駅から徒歩10分 【車】関越自動車道所沢ICから約8分,    施設により異なる,    施設により異なる,入場無料。, 0570-017-396 受付時間10:00～17:00,
関東,子供と,ところざわサクラタウン,日本最大級のポップカルチャー発信拠点,https://www.walkerplus.com/spot/ar0311s392095/    ,観る・学ぶ,    埼玉県所沢市東所沢和田3-31-3[地図],    【電車】JR武蔵野線東所沢駅から徒歩10分 【車】関越自動車道所沢ICから約8分,    施設により異なる,    施設により異なる,入場無料。, 0570-017-396 受付時間10:00～17:00,
埼玉県,子供と,ところざわサクラタウン,日本最大級のポップカルチャー発信拠点,https://www.walkerplus.com/spot/ar0311s392095/    ,観る・学ぶ,    埼玉県所沢市東所沢和田3-31-3[地図],    【電車】JR武蔵野線東所沢駅から徒歩10分 【車】関越自動車道所沢ICから約8分,    施設により異なる,    施設により異なる,入場無料。, 0570-017-396 受付時間10:00～17:00,
関東,恋人と・夫婦で,ところざわサクラタウン,日本最大級のポップカルチャー発信拠点,https://www.walkerplus.com/spot/ar0311s392095/    ,観る・学ぶ,    埼玉県所沢市東所沢和田3-31-3[地図],    【電車】JR武蔵野線東所沢駅から徒歩10分 【車】関越自動車道所沢ICから約8分,    施設により異なる,    施設により異なる,入場無料。, 0570-017-396 受付時間10:00～17:00,
埼玉県,恋人と・夫婦で,ところざわサクラタウン,日本最大級のポップカルチャー発信拠点,https://www.walkerplus.com/spot/ar0311s392095/    ,観る・学ぶ,    埼玉県所沢市東所沢和田3-31-3[地図],    【電車】JR武蔵野線東所沢駅から徒歩10分 【車】関越自動車道所沢ICから約8分,    施設により異なる,    施設により異なる,入場無料。, 0570-017-396 受付時間10:00～17:00,
関東,友達と,ところざわサクラタウン,日本最大級のポップカルチャー発信拠点,https://www.walkerplus.com/spot/ar0311s392095/    ,観る・学ぶ,    埼玉県所沢市東所沢和田3-31-3[地図],    【電車】JR武蔵野線東所沢駅から徒歩10分 【車】関越自動車道所沢ICから約8分,    施設により異なる,    施設により異なる,入場無料。, 0570-017-396 受付時間10:00～17:00,
埼玉県,友達と,ところざわサクラタウン,日本最大級のポップカルチャー発信拠点,https://www.walkerplus.com/spot/ar0311s392095/    ,観る・学ぶ,    埼玉県所沢市東所沢和田3-31-3[地図],    【電車】JR武蔵野線東所沢駅から徒歩10分 【車】関越自動車道所沢ICから約8分,    施設により異なる,    施設により異なる,入場無料。, 0570-017-396 受付時間10:00～17:00,
