area_list,tags_list,name,description,url,category,address,access,business_hours,regular_holidays,price,phone_no,if_reservation_needed
関東,アウトレットモール,佐野プレミアム・アウトレット,国内外の有名ブランドが約170店舗が集結したアウトレットセンター,https://www.walkerplus.com/spot/ar0309s04602/    ,買う,    栃木県佐野市越名町2058[地図],    【電車】JR・東武鉄道佐野駅から市内循環バスで約20分 【車】東北自動車道佐野藤岡ICから約5分。北関東自動車道佐野田沼ICから約20分,    10:00～20:00 季節により異なる,    2月第3木曜,対応可。, 0283-20-5800,
栃木県,アウトレットモール,佐野プレミアム・アウトレット,国内外の有名ブランドが約170店舗が集結したアウトレットセンター,https://www.walkerplus.com/spot/ar0309s04602/    ,買う,    栃木県佐野市越名町2058[地図],    【電車】JR・東武鉄道佐野駅から市内循環バスで約20分 【車】東北自動車道佐野藤岡ICから約5分。北関東自動車道佐野田沼ICから約20分,    10:00～20:00 季節により異なる,    2月第3木曜,対応可。, 0283-20-5800,
関東,アウトレットモール,三井アウトレットパーク 幕張,ビジネスツールから生活雑貨まで充実,https://www.walkerplus.com/spot/ar0312s03417/    ,買う,    千葉県千葉市美浜区ひび野2-6-1[地図],    【電車】JR海浜幕張駅南口前 【車】東関東自動車道湾岸習志野ICから約5分。京葉道路幕張ICから約9分,    物販10:00～20:00、レストラン11:00～20:00    ※変更中,    不定休,入場無料。, 043-212-8200 三井アウトレットパーク 幕張,
千葉県,アウトレットモール,三井アウトレットパーク 幕張,ビジネスツールから生活雑貨まで充実,https://www.walkerplus.com/spot/ar0312s03417/    ,買う,    千葉県千葉市美浜区ひび野2-6-1[地図],    【電車】JR海浜幕張駅南口前 【車】東関東自動車道湾岸習志野ICから約5分。京葉道路幕張ICから約9分,    物販10:00～20:00、レストラン11:00～20:00    ※変更中,    不定休,入場無料。, 043-212-8200 三井アウトレットパーク 幕張,
海浜幕張駅(千葉県),アウトレットモール,三井アウトレットパーク 幕張,ビジネスツールから生活雑貨まで充実,https://www.walkerplus.com/spot/ar0312s03417/    ,買う,    千葉県千葉市美浜区ひび野2-6-1[地図],    【電車】JR海浜幕張駅南口前 【車】東関東自動車道湾岸習志野ICから約5分。京葉道路幕張ICから約9分,    物販10:00～20:00、レストラン11:00～20:00    ※変更中,    不定休,入場無料。, 043-212-8200 三井アウトレットパーク 幕張,
関東,アウトレットモール,佐野プレミアム・アウトレット,国内外の有名ブランドが約170店舗が集結したアウトレットセンター,https://www.walkerplus.com/spot/ar0309s04602/    ,買う,    栃木県佐野市越名町2058[地図],    【電車】JR・東武鉄道佐野駅から市内循環バスで約20分 【車】東北自動車道佐野藤岡ICから約5分。北関東自動車道佐野田沼ICから約20分,    10:00～20:00 季節により異なる,    2月第3木曜,対応可。, 0283-20-5800,
栃木県,アウトレットモール,佐野プレミアム・アウトレット,国内外の有名ブランドが約170店舗が集結したアウトレットセンター,https://www.walkerplus.com/spot/ar0309s04602/    ,買う,    栃木県佐野市越名町2058[地図],    【電車】JR・東武鉄道佐野駅から市内循環バスで約20分 【車】東北自動車道佐野藤岡ICから約5分。北関東自動車道佐野田沼ICから約20分,    10:00～20:00 季節により異なる,    2月第3木曜,対応可。, 0283-20-5800,
関東,アウトレットモール,三井アウトレットパーク 幕張,ビジネスツールから生活雑貨まで充実,https://www.walkerplus.com/spot/ar0312s03417/    ,買う,    千葉県千葉市美浜区ひび野2-6-1[地図],    【電車】JR海浜幕張駅南口前 【車】東関東自動車道湾岸習志野ICから約5分。京葉道路幕張ICから約9分,    物販10:00～20:00、レストラン11:00～20:00    ※変更中,    不定休,入場無料。, 043-212-8200 三井アウトレットパーク 幕張,
千葉県,アウトレットモール,三井アウトレットパーク 幕張,ビジネスツールから生活雑貨まで充実,https://www.walkerplus.com/spot/ar0312s03417/    ,買う,    千葉県千葉市美浜区ひび野2-6-1[地図],    【電車】JR海浜幕張駅南口前 【車】東関東自動車道湾岸習志野ICから約5分。京葉道路幕張ICから約9分,    物販10:00～20:00、レストラン11:00～20:00    ※変更中,    不定休,入場無料。, 043-212-8200 三井アウトレットパーク 幕張,
海浜幕張駅(千葉県),アウトレットモール,三井アウトレットパーク 幕張,ビジネスツールから生活雑貨まで充実,https://www.walkerplus.com/spot/ar0312s03417/    ,買う,    千葉県千葉市美浜区ひび野2-6-1[地図],    【電車】JR海浜幕張駅南口前 【車】東関東自動車道湾岸習志野ICから約5分。京葉道路幕張ICから約9分,    物販10:00～20:00、レストラン11:00～20:00    ※変更中,    不定休,入場無料。, 043-212-8200 三井アウトレットパーク 幕張,
