area_list,tags_list,name,description,url,category,address,access,business_hours,regular_holidays,price,phone_no,if_reservation_needed
東海,恋人と・夫婦で,阿寺の七滝,日本の滝百選に選ばれた7段の滝,https://www.walkerplus.com/spot/ar0623s05594/    ,巡る,    愛知県新城市下吉田字沢谷下[地図],    【電車】JR本長篠駅または三河大野駅からバスに乗り七滝口下車徒歩15分 【車】新東名高速道路新城ICから約20分,,    なし,入場無料。, 0536-29-0829 新城市観光協会,
愛知県,恋人と・夫婦で,阿寺の七滝,日本の滝百選に選ばれた7段の滝,https://www.walkerplus.com/spot/ar0623s05594/    ,巡る,    愛知県新城市下吉田字沢谷下[地図],    【電車】JR本長篠駅または三河大野駅からバスに乗り七滝口下車徒歩15分 【車】新東名高速道路新城ICから約20分,,    なし,入場無料。, 0536-29-0829 新城市観光協会,
関西,恋人と・夫婦で,大安寺,聖徳太子の発願によって建てられた,https://www.walkerplus.com/spot/ar0729s30586/    ,巡る,    奈良県奈良市大安寺2-18-1[地図],    【鉄道・バス】JR・近鉄 奈良駅よりバス 大安寺下車、徒歩10分,    9:00～17:00(拝観・祈祷受付9:00～16:00 )    1月1日のみ0:00～2:00も開門,    12月31日(木),拝観料:400円 祈祷料最低額:3000円 10月1日～11月30日、3月1日～3月31日「特別拝観料」500円 境内散策自由, 0742-61-6312,
奈良県,恋人と・夫婦で,大安寺,聖徳太子の発願によって建てられた,https://www.walkerplus.com/spot/ar0729s30586/    ,巡る,    奈良県奈良市大安寺2-18-1[地図],    【鉄道・バス】JR・近鉄 奈良駅よりバス 大安寺下車、徒歩10分,    9:00～17:00(拝観・祈祷受付9:00～16:00 )    1月1日のみ0:00～2:00も開門,    12月31日(木),拝観料:400円 祈祷料最低額:3000円 10月1日～11月30日、3月1日～3月31日「特別拝観料」500円 境内散策自由, 0742-61-6312,
関西,恋人と・夫婦で,宇陀市阿騎野・人麻呂公園,大和朝廷の狩場、中之庄遺跡の公園,https://www.walkerplus.com/spot/ar0729s77568/    ,巡る,    奈良県宇陀市大宇陀拾生76-1[地図],    【電車】近鉄榛原駅からバスに乗り約20分大宇陀高校前下車徒歩5分 【車】名阪国道針ICから約30分,    終日開放,    なし,入場無料。, 0745-82-8000 宇陀市役所代表番号,
奈良県,恋人と・夫婦で,宇陀市阿騎野・人麻呂公園,大和朝廷の狩場、中之庄遺跡の公園,https://www.walkerplus.com/spot/ar0729s77568/    ,巡る,    奈良県宇陀市大宇陀拾生76-1[地図],    【電車】近鉄榛原駅からバスに乗り約20分大宇陀高校前下車徒歩5分 【車】名阪国道針ICから約30分,    終日開放,    なし,入場無料。, 0745-82-8000 宇陀市役所代表番号,
九州,恋人と・夫婦で,人吉城跡【一部立入禁止】,築城史上でも珍しい構造が楽しめる公園,https://www.walkerplus.com/spot/ar1043s44732/    ,巡る,    熊本県人吉市麓町[地図],    【電車】JR人吉駅から徒歩15分 【車】九州自動車道人吉ICから約5分,    終日,    なし,入場無料。, 0966-22-2411 人吉市観光案内所,
熊本県,恋人と・夫婦で,人吉城跡【一部立入禁止】,築城史上でも珍しい構造が楽しめる公園,https://www.walkerplus.com/spot/ar1043s44732/    ,巡る,    熊本県人吉市麓町[地図],    【電車】JR人吉駅から徒歩15分 【車】九州自動車道人吉ICから約5分,    終日,    なし,入場無料。, 0966-22-2411 人吉市観光案内所,
関東,恋人と・夫婦で,筑波山,四季折々の花や風景が楽しめる名山,https://www.walkerplus.com/spot/ar0308s386478/    ,巡る,    茨城県つくば市筑波1[地図],    【電車】つくばエクスプレスつくば駅から直行筑波山シャトルバスにのり筑波山神社入口で下車 【車】常磐自動車道土浦北ICまたは北関東自動車道桜川筑西ICから約40分,,,入場無料。, 029-866-1616 筑波山観光案内所,850台  普通車 500円/1回    市営第1～4駐車場 ※市営第1～3はマイクロ～大型の駐車可。駐車場の予約不可
茨城県,恋人と・夫婦で,筑波山,四季折々の花や風景が楽しめる名山,https://www.walkerplus.com/spot/ar0308s386478/    ,巡る,    茨城県つくば市筑波1[地図],    【電車】つくばエクスプレスつくば駅から直行筑波山シャトルバスにのり筑波山神社入口で下車 【車】常磐自動車道土浦北ICまたは北関東自動車道桜川筑西ICから約40分,,,入場無料。, 029-866-1616 筑波山観光案内所,850台  普通車 500円/1回    市営第1～4駐車場 ※市営第1～3はマイクロ～大型の駐車可。駐車場の予約不可
関東,恋人と・夫婦で,坂東三十番 高倉観音 高蔵寺,文化財に指定されている珍しい高床式の本堂,https://www.walkerplus.com/spot/ar0312s30371/    ,巡る,    千葉県木更津市矢那1245[地図],    【電車】JR木更津駅東口より日東バス高倉草敷線で高倉観音下下車 徒歩10分,    寺務所 8:00～17:00    観音浄土巡り 9:00～16:00 ※12月31日8:00～1月1日17:00 ※観音浄土巡りは通常通り,    なし,観音浄土巡り 大人 300円 小学生 100円 小学生未満無料。本堂参拝は無料, 0438-52-2675 高蔵寺,
千葉県,恋人と・夫婦で,坂東三十番 高倉観音 高蔵寺,文化財に指定されている珍しい高床式の本堂,https://www.walkerplus.com/spot/ar0312s30371/    ,巡る,    千葉県木更津市矢那1245[地図],    【電車】JR木更津駅東口より日東バス高倉草敷線で高倉観音下下車 徒歩10分,    寺務所 8:00～17:00    観音浄土巡り 9:00～16:00 ※12月31日8:00～1月1日17:00 ※観音浄土巡りは通常通り,    なし,観音浄土巡り 大人 300円 小学生 100円 小学生未満無料。本堂参拝は無料, 0438-52-2675 高蔵寺,
関東,恋人と・夫婦で,国史跡 八王子城跡,混雑する時間の目安,https://www.walkerplus.com/spot/ar0313s80636/    ,巡る,    東京都八王子市元八王子町3‐2664-2 (ガイダンス施設)[地図],    【電車】JR高尾駅北口からバスで霊園前・八王子城跡入口停留所下車、徒歩20分 【車】圏央道八王子西ICから約10分。中央自動車道八王子ICから約40分,    管理棟 9:00～17:00、ガイダンス施設 9:00～17:00 ※12月29日～1月3日は休館日、その他臨時休館日あり,    12月29日～1月3日    その他臨時休館日あり,入場無料。, 042-620-7265 八王子市教育委員会文化財課,
東京都,恋人と・夫婦で,国史跡 八王子城跡,混雑する時間の目安,https://www.walkerplus.com/spot/ar0313s80636/    ,巡る,    東京都八王子市元八王子町3‐2664-2 (ガイダンス施設)[地図],    【電車】JR高尾駅北口からバスで霊園前・八王子城跡入口停留所下車、徒歩20分 【車】圏央道八王子西ICから約10分。中央自動車道八王子ICから約40分,    管理棟 9:00～17:00、ガイダンス施設 9:00～17:00 ※12月29日～1月3日は休館日、その他臨時休館日あり,    12月29日～1月3日    その他臨時休館日あり,入場無料。, 042-620-7265 八王子市教育委員会文化財課,
東海,恋人と・夫婦で,さった峠,富士山や駿河湾を見渡せる絶景スポット,https://www.walkerplus.com/spot/ar0622s197173/    ,巡る,    静岡県静岡市清水区由比西倉澤[地図],    【電車】JR興津駅・由比駅から徒歩1時間、車で約15分【車】新東名高速道路清水いはらIC・東名高速道路清水IC・富士由比バイパス高浜ICから約20分,    終日開放,    なし,入場無料。, 054-221-1310 静岡市観光・MICE推進課,
静岡県,恋人と・夫婦で,さった峠,富士山や駿河湾を見渡せる絶景スポット,https://www.walkerplus.com/spot/ar0622s197173/    ,巡る,    静岡県静岡市清水区由比西倉澤[地図],    【電車】JR興津駅・由比駅から徒歩1時間、車で約15分【車】新東名高速道路清水いはらIC・東名高速道路清水IC・富士由比バイパス高浜ICから約20分,    終日開放,    なし,入場無料。, 054-221-1310 静岡市観光・MICE推進課,
東北,恋人と・夫婦で,背あぶり山,アウトドアスポットとしても人気のあるビュースポット,https://www.walkerplus.com/spot/ar0207s74661/    ,巡る,    福島県会津若松市湊町地内[地図],    【電車】JR会津若松駅から会津バス まちなか周遊バス東山温泉入口下車し、タクシーで約15分。JR会津若松駅からタクシーで約30分 【車】磐越自動車道会津若松ICから約40分,,    期間中なし,入場無料。, 0242-28-0062 背あぶり山レストハウス(現地事務所),
福島県,恋人と・夫婦で,背あぶり山,アウトドアスポットとしても人気のあるビュースポット,https://www.walkerplus.com/spot/ar0207s74661/    ,巡る,    福島県会津若松市湊町地内[地図],    【電車】JR会津若松駅から会津バス まちなか周遊バス東山温泉入口下車し、タクシーで約15分。JR会津若松駅からタクシーで約30分 【車】磐越自動車道会津若松ICから約40分,,    期間中なし,入場無料。, 0242-28-0062 背あぶり山レストハウス(現地事務所),
東北,恋人と・夫婦で,片曽根山,混雑する時間の目安,https://www.walkerplus.com/spot/ar0207s75909/    ,巡る,    福島県田村市船引町[地図],    【電車】 JR船引駅から山頂までタクシーで約15分 【車】磐越自動車道船引三春ICから山頂まで約20分,    入山自由,    なし,入場無料。, 0247-81-2136 田村市産業部観光交流課,
福島県,恋人と・夫婦で,片曽根山,混雑する時間の目安,https://www.walkerplus.com/spot/ar0207s75909/    ,巡る,    福島県田村市船引町[地図],    【電車】 JR船引駅から山頂までタクシーで約15分 【車】磐越自動車道船引三春ICから山頂まで約20分,    入山自由,    なし,入場無料。, 0247-81-2136 田村市産業部観光交流課,
関東,恋人と・夫婦で,箱根の石仏群,約700年前の歴史を語る石仏群,https://www.walkerplus.com/spot/ar0314s62735/    ,巡る,    神奈川県足柄下郡箱根町元箱根110-228[地図],    【電車】小田急電鉄・箱根登山鉄道箱根湯本駅から箱根町元箱根行きの箱根登山バスに乗り六道地蔵下車すぐ 【車】小田原厚木道路・西湘バイパス小田原西ICから約45分,    10:00～16:00,    なし,入場無料。, 0460-85-7601,
神奈川県,恋人と・夫婦で,箱根の石仏群,約700年前の歴史を語る石仏群,https://www.walkerplus.com/spot/ar0314s62735/    ,巡る,    神奈川県足柄下郡箱根町元箱根110-228[地図],    【電車】小田急電鉄・箱根登山鉄道箱根湯本駅から箱根町元箱根行きの箱根登山バスに乗り六道地蔵下車すぐ 【車】小田原厚木道路・西湘バイパス小田原西ICから約45分,    10:00～16:00,    なし,入場無料。, 0460-85-7601,
甲信越,恋人と・夫婦で,奈良井宿,いまなお中山道に江戸の風情を残す全長約1kmの宿場町,https://www.walkerplus.com/spot/ar0420s195192/    ,巡る,    長野県塩尻市奈良井[地図],    【電車】JR中央西線奈良井駅下車すぐ 【車】長野自動車道塩尻ICから国道19号線経由約40分。中央自動車道伊那ICから国道361線号経由約40分,,    各店舗による,, 0264-34-3160 塩尻市観光協会 奈良井宿案内所,
長野県,恋人と・夫婦で,奈良井宿,いまなお中山道に江戸の風情を残す全長約1kmの宿場町,https://www.walkerplus.com/spot/ar0420s195192/    ,巡る,    長野県塩尻市奈良井[地図],    【電車】JR中央西線奈良井駅下車すぐ 【車】長野自動車道塩尻ICから国道19号線経由約40分。中央自動車道伊那ICから国道361線号経由約40分,,    各店舗による,, 0264-34-3160 塩尻市観光協会 奈良井宿案内所,
奈良井駅(長野県),恋人と・夫婦で,奈良井宿,いまなお中山道に江戸の風情を残す全長約1kmの宿場町,https://www.walkerplus.com/spot/ar0420s195192/    ,巡る,    長野県塩尻市奈良井[地図],    【電車】JR中央西線奈良井駅下車すぐ 【車】長野自動車道塩尻ICから国道19号線経由約40分。中央自動車道伊那ICから国道361線号経由約40分,,    各店舗による,, 0264-34-3160 塩尻市観光協会 奈良井宿案内所,
関西,恋人と・夫婦で,摩耶山(まやビューライン),混雑する時間の目安,https://www.walkerplus.com/spot/ar0728s05720/    ,巡る,    兵庫県神戸市灘区摩耶山町2-2(星の駅)[地図],    【電車】阪急電鉄・阪神電鉄・市営地下鉄・ポートアイランド線三宮駅、市営地下鉄新神戸駅、JR六甲道駅、または阪急六甲駅から市バス18系統に乗り約15～25分、摩耶ケーブル下停留所下車すぐ 【車】阪神高速神戸線魚崎出口から約35分,    10:00～17:30    季節・曜日により延長ダイヤ有,    まやビューライン(摩耶ロープウェー＆ケーブル) 火曜(祝日の場合は翌日)。夏季は無休    天候・点検のため運休の場合有,有料。 乗車料金(全区間・往復) 大人1560円、小人(12歳未満)780円 ※6歳未満は無料、70歳以上は片道運賃より2割引, 078-861-2998 まやビューライン星の駅,
兵庫県,恋人と・夫婦で,摩耶山(まやビューライン),混雑する時間の目安,https://www.walkerplus.com/spot/ar0728s05720/    ,巡る,    兵庫県神戸市灘区摩耶山町2-2(星の駅)[地図],    【電車】阪急電鉄・阪神電鉄・市営地下鉄・ポートアイランド線三宮駅、市営地下鉄新神戸駅、JR六甲道駅、または阪急六甲駅から市バス18系統に乗り約15～25分、摩耶ケーブル下停留所下車すぐ 【車】阪神高速神戸線魚崎出口から約35分,    10:00～17:30    季節・曜日により延長ダイヤ有,    まやビューライン(摩耶ロープウェー＆ケーブル) 火曜(祝日の場合は翌日)。夏季は無休    天候・点検のため運休の場合有,有料。 乗車料金(全区間・往復) 大人1560円、小人(12歳未満)780円 ※6歳未満は無料、70歳以上は片道運賃より2割引, 078-861-2998 まやビューライン星の駅,
九州,恋人と・夫婦で,宝満山,桜の名所としても名高い霊峰,https://www.walkerplus.com/spot/ar1040s05741/    ,巡る,    福岡県太宰府市内山[地図],    【電車】(竈門神社まで)西日本鉄道太宰府駅から徒歩40分 【車】(竈門神社まで)九州自動車道太宰府IC・福岡高速道路水城出入口から約20分。九州自動車道筑紫野ICから約25分,    終日開放,    なし,入場無料。, 092-922-4106 竈門神社,
福岡県,恋人と・夫婦で,宝満山,桜の名所としても名高い霊峰,https://www.walkerplus.com/spot/ar1040s05741/    ,巡る,    福岡県太宰府市内山[地図],    【電車】(竈門神社まで)西日本鉄道太宰府駅から徒歩40分 【車】(竈門神社まで)九州自動車道太宰府IC・福岡高速道路水城出入口から約20分。九州自動車道筑紫野ICから約25分,    終日開放,    なし,入場無料。, 092-922-4106 竈門神社,
東海,恋人と・夫婦で,矢奈比賣神社(見付天神),「見付のお天神様」として崇敬される,https://www.walkerplus.com/spot/ar0622s30486/    ,巡る,    静岡県磐田市見付1114‐2[地図],    【車】東名高速道路磐田ICから約7分,    終日開放    社務所8:30～16:30。年末8:30～16:30、年始8:00～17:30※正月三が日まで,    なし,入場無料。, 0538-32-5298,
静岡県,恋人と・夫婦で,矢奈比賣神社(見付天神),「見付のお天神様」として崇敬される,https://www.walkerplus.com/spot/ar0622s30486/    ,巡る,    静岡県磐田市見付1114‐2[地図],    【車】東名高速道路磐田ICから約7分,    終日開放    社務所8:30～16:30。年末8:30～16:30、年始8:00～17:30※正月三が日まで,    なし,入場無料。, 0538-32-5298,
東海,恋人と・夫婦で,尾鷲神社,天下の奇祭・ヤーヤ祭りで知られる東紀州の神社,https://www.walkerplus.com/spot/ar0624s30533/    ,巡る,    三重県尾鷲市北浦町12-5[地図],    【電車】JR尾鷲駅から徒歩約15分 【車】紀勢自動車道尾鷲北ICから約5分または熊野尾鷲道路尾鷲南ICから国道42号経由で約10分,    参拝自由(24時間開放)。授与所は9:00～16:00まで    年末年始：1月1日・2日は7:00～17:00頃。3日は8:00～16:00頃,,入場無料。, 0597-22-1486 尾鷲神社,
三重県,恋人と・夫婦で,尾鷲神社,天下の奇祭・ヤーヤ祭りで知られる東紀州の神社,https://www.walkerplus.com/spot/ar0624s30533/    ,巡る,    三重県尾鷲市北浦町12-5[地図],    【電車】JR尾鷲駅から徒歩約15分 【車】紀勢自動車道尾鷲北ICから約5分または熊野尾鷲道路尾鷲南ICから国道42号経由で約10分,    参拝自由(24時間開放)。授与所は9:00～16:00まで    年末年始：1月1日・2日は7:00～17:00頃。3日は8:00～16:00頃,,入場無料。, 0597-22-1486 尾鷲神社,
尾鷲駅(三重県),恋人と・夫婦で,尾鷲神社,天下の奇祭・ヤーヤ祭りで知られる東紀州の神社,https://www.walkerplus.com/spot/ar0624s30533/    ,巡る,    三重県尾鷲市北浦町12-5[地図],    【電車】JR尾鷲駅から徒歩約15分 【車】紀勢自動車道尾鷲北ICから約5分または熊野尾鷲道路尾鷲南ICから国道42号経由で約10分,    参拝自由(24時間開放)。授与所は9:00～16:00まで    年末年始：1月1日・2日は7:00～17:00頃。3日は8:00～16:00頃,,入場無料。, 0597-22-1486 尾鷲神社,
甲信越,恋人と・夫婦で,フルーツライン(牛奥みはらしの丘),色とりどりのフルーツに囲まれる景観,https://www.walkerplus.com/spot/ar0419s197316/    ,巡る,    山梨県甲州市塩山牛奥5053[地図],    【電車】JR塩山駅・勝沼ぶどう郷駅から車で約10分 【車】中央自動車道勝沼ICから約10分,    終日,,入場無料。, 0553-32-2111 甲州市役所 観光商工課,
山梨県,恋人と・夫婦で,フルーツライン(牛奥みはらしの丘),色とりどりのフルーツに囲まれる景観,https://www.walkerplus.com/spot/ar0419s197316/    ,巡る,    山梨県甲州市塩山牛奥5053[地図],    【電車】JR塩山駅・勝沼ぶどう郷駅から車で約10分 【車】中央自動車道勝沼ICから約10分,    終日,,入場無料。, 0553-32-2111 甲州市役所 観光商工課,
甲信越,恋人と・夫婦で,富士見高原 創造の森 彫刻公園,混雑する時間の目安,https://www.walkerplus.com/spot/ar0420s79799/    ,巡る,    長野県諏訪郡富士見町境12067[地図],    【電車】JR小淵沢駅からタクシーで約15分 【車】中央自動車道小淵沢ICより約15分,    終日,    なし,入場無料。 天空の遊覧カート往復1人800円、展望リフト往復1人800円, 0266-66-2121 富士見高原リゾート営業部,1000台  無料    団体利用の場合は要予約
長野県,恋人と・夫婦で,富士見高原 創造の森 彫刻公園,混雑する時間の目安,https://www.walkerplus.com/spot/ar0420s79799/    ,巡る,    長野県諏訪郡富士見町境12067[地図],    【電車】JR小淵沢駅からタクシーで約15分 【車】中央自動車道小淵沢ICより約15分,    終日,    なし,入場無料。 天空の遊覧カート往復1人800円、展望リフト往復1人800円, 0266-66-2121 富士見高原リゾート営業部,1000台  無料    団体利用の場合は要予約
関西,恋人と・夫婦で,立木観音,元高野山とも呼ばれた弘法大師開山の厄除寺,https://www.walkerplus.com/spot/ar0725s30541/    ,巡る,    滋賀県大津市南郷奥山1231[地図],    【電車】JR石山駅から京阪バス約20分「立木観音前」下車徒歩約20分(石段800段)で境内 【車】名神高速瀬田東IC又は瀬田西ICから約15分、京滋バイパス笠取ICから約10分、石山ICから約12分,    9:00～16:30    1月1日大晦日から終日解放、詳細は公式サイト参照,,祈願料3000円～, 077-537-0008 立木観音(安養寺),
滋賀県,恋人と・夫婦で,立木観音,元高野山とも呼ばれた弘法大師開山の厄除寺,https://www.walkerplus.com/spot/ar0725s30541/    ,巡る,    滋賀県大津市南郷奥山1231[地図],    【電車】JR石山駅から京阪バス約20分「立木観音前」下車徒歩約20分(石段800段)で境内 【車】名神高速瀬田東IC又は瀬田西ICから約15分、京滋バイパス笠取ICから約10分、石山ICから約12分,    9:00～16:30    1月1日大晦日から終日解放、詳細は公式サイト参照,,祈願料3000円～, 077-537-0008 立木観音(安養寺),
中国,恋人と・夫婦で,鳥取砂丘,混雑する時間の目安,https://www.walkerplus.com/spot/ar0831s208727/    ,巡る,    鳥取県鳥取市福部町湯山2164-971[地図],    【電車】JR鳥取駅から日ノ丸バスまたは日交バス砂丘線で約20分、砂丘会館前下車すぐ 【車】鳥取自動車道鳥取ICから約20分,    終日開放。山陰海岸国立公園鳥取砂丘ビジターセンターは9:00～17:00,    なし,入場無料。, 0857-22-0021 山陰海岸国立公園鳥取砂丘ビジターセンター,
鳥取県,恋人と・夫婦で,鳥取砂丘,混雑する時間の目安,https://www.walkerplus.com/spot/ar0831s208727/    ,巡る,    鳥取県鳥取市福部町湯山2164-971[地図],    【電車】JR鳥取駅から日ノ丸バスまたは日交バス砂丘線で約20分、砂丘会館前下車すぐ 【車】鳥取自動車道鳥取ICから約20分,    終日開放。山陰海岸国立公園鳥取砂丘ビジターセンターは9:00～17:00,    なし,入場無料。, 0857-22-0021 山陰海岸国立公園鳥取砂丘ビジターセンター,
中国,恋人と・夫婦で,防府天満宮,混雑する時間の目安,https://www.walkerplus.com/spot/ar0835s30641/    ,巡る,    山口県防府市松崎町14-1[地図],    【電車】JR防府駅から徒歩20分 【車】山陽自動車道防府東ICから約20分,    6:00～20:00    授与所は8:00～20:00、1月1日0:00～、1月2日22:00,,有料。 拝観料は歴史館・お茶室 「芳松庵」ともに 大人500円。高校生以下無料(歴史館のみ), 0835-23-7700,
山口県,恋人と・夫婦で,防府天満宮,混雑する時間の目安,https://www.walkerplus.com/spot/ar0835s30641/    ,巡る,    山口県防府市松崎町14-1[地図],    【電車】JR防府駅から徒歩20分 【車】山陽自動車道防府東ICから約20分,    6:00～20:00    授与所は8:00～20:00、1月1日0:00～、1月2日22:00,,有料。 拝観料は歴史館・お茶室 「芳松庵」ともに 大人500円。高校生以下無料(歴史館のみ), 0835-23-7700,
東北,恋人と・夫婦で,櫻岡大神宮,桜の名所としても知られる神社,https://www.walkerplus.com/spot/ar0204s30265/    ,巡る,    宮城県仙台市青葉区桜ヶ岡公園1-1[地図],    【電車】地下鉄東西線大町西公園駅西1出口から徒歩1分,    御朱印頒布所開設時間9:00～16:00,,入場無料。, 022-222-6826 櫻岡大神宮,
